Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1M Return","1D Return","Return on Equity","PB Ratio"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","195009.9676236","7109","41.189658676337665","6.37438276223253","-1.1196884345225677","24.068108348274933","9.156906496028217"
Grasim Industries Ltd,GRASIM,"Cement","190172.5201062","2794.5","51.31919650541892","8.012523191094628","-0.3103595890410894","2.4973131852977937","1.2049670832738"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","182462.4568099","1819","73.86246885394513","0.7198228128460686","0.15416804316704957","15.133296607408782","10.742343066813474"
Varun Beverages Ltd,VBL,"Soft Drinks","173748.55291728","513.7","57.22019598855257","34.26555148980659","-1.7969795450200683","16.647154007103502","8.801428143897837"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","172620.944145","6502.5","78.78637341168415","9.51578947368421","-0.4820936639118457","15.353889278206026","11.531895527089317"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","167837.16421335","3492.9","75.07611704152438","3.096221959858326","-1.7164242100227918","26.37303003884767","17.775086310108687"
Interglobe Aviation Ltd,INDIGO,"Airlines","166076.48505093998","4295.3","22.880591459679827","6.096084969741884","-1.148393629752362","127.73588392126491","17.72768355190325"
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","162681.600165851","246.37","104.2229484053117","8.104431768319438","-1.7310837222288713","1.2279655311608273","1.317297039348566"
ICICI Prudential Asset Management Company Ltd,ICICIAMC,"Asset Management","162620.9382504","3290.2","49.30506941551","16.785574841159963","-0.36942829457365167","82.83597248655424","46.23932687233789"
Adani Energy Solutions Ltd,ADANIENSOL,"Power Infrastructure","161242.16262245","1342.25","70.6415495993279","42.30810008481763","-5.3520431548143765","5.774139240771803","7.007098378031018"
ABB India Ltd,ABB,"Heavy Electrical Equipments","153209.755125","7230","91.83805589356578","20.89290193127665","-0.4749122444765641","22.37564707247278","19.55206108290082"
Tata Motors Ltd,TMCV,"Trucks & Buses","150938.76297927","409.9","-1886734.5372408747","0.6383501104836645","-1.6908502218491455",,"7546938.148963498"
Hitachi Energy India Ltd,POWERINDIA,"Heavy Electrical Equipments","149540.277865","33550","389.4480906948287","38.75103391232423","2.02219857077695","13.777588007133115","35.485613300317276"
BSE Ltd,BSE,"Stock Exchanges & Ratings","148277.22898185","3640.5","111.8322251331936","33.107861060329064","0.1320240943972325","33.021931768936874","32.40536507678607"
Power Finance Corporation Ltd,PFC,"Specialized Finance","147976.5629184","448.4","6.436335340877508","15.38857436953164","-3.518020441097369","15.886201316407677","0.9537323551284738"
Hyundai Motor India Ltd,HYUNDAI,"Four Wheelers","147687.470336","1817.6","26.18470030176127","4.525849675081938","0.011004732034764944","41.83810471876841","9.062549187737703"
Trent Ltd,TRENT,"Retail - Apparel","147335.33308606","4144.6","85.67751175300786","23.845096515866864","-1.9795189556086326","31.93739385398443","26.388291832527372"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","145984.608","5266.4","72.99449383481497","15.711994375233436","-0.4084720121028813","28.220396621352783","19.30655804480652"
DLF Ltd,DLF,"Real Estate","145300.7971422","587","33.26772868111235","14.024864024864035","-1.2532593153335092","10.65509271993563","3.4148071888276963"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","144379.6084822","1473.5","30.010935268286563","6.969147005444646","0.9384847239347888","15.477306442658621","5.1950621402145245"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","142048.819561885","444.55","35.77154861795148","16.32866675389246","-1.5393133997785136","9.812350836391074","3.3340066235182846"
